time,HR
1,0.114571461
2,0.11819069
3,0.120341493
4,0.120911003
5,0.121070719
6,0.120574703
7,0.120832522
8,0.121043736
9,0.121562784
10,0.121973121
11,0.122871461
12,0.122964491
13,0.123635805
14,0.123911791
15,0.123519486
16,0.12205953
17,0.12061187
18,0.118737428
19,0.116697916
20,0.114354834
21,0.112304885
22,0.110092597
23,0.10739111
24,0.104214232
25,0.101078027
26,0.097885487
27,0.093787712
28,0.089458544
29,0.085747529
30,0.082569932
31,0.07915055
32,0.077312622
33,0.077224964
34,0.078189228
35,0.078974041
36,0.081226693
37,0.083318894
38,0.085194806
39,0.086753269
40,0.089706214
41,0.092088844
42,0.093266859
43,0.092317019
44,0.089451077
45,0.084245441
46,0.076116585
47,0.068135989
48,0.061737842
49,0.057087783
50,0.053613581
51,0.054383054
52,0.056756173
53,0.059492674
54,0.061885486
55,0.064768117
56,0.066673168
57,0.068230751
58,0.069159504
59,0.069736335
60,0.069538537
61,0.067618485
62,0.065272261
63,0.062629093
64,0.060277872
65,0.057743543
66,0.056220995
67,0.054755863
68,0.054043065
69,0.053668775
70,0.053765751
71,0.053348298
72,0.05207634
73,0.049580596
74,0.046307002
75,0.043179098
76,0.040964039
77,0.039734332
78,0.039857704
79,0.040968094
80,0.041960624
81,0.04257995
82,0.043058138
83,0.043104377
84,0.042575155
85,0.042292094
86,0.042051445
87,0.041341363
88,0.04015157
89,0.039069255
90,0.037225226
91,0.034776088
92,0.032446655
93,0.030459521
94,0.027787537
95,0.026075681
96,0.025567005
97,0.025129296
98,0.024245689
99,0.023474391
100,0.022380516
101,0.019848936
102,0.017981173
103,0.017460491
104,0.020826378
105,0.024795273
106,0.030451504
107,0.036044187
108,0.041157058
109,0.041179598
110,0.04053722
111,0.038294522
112,0.036914275
113,0.036956619
114,0.039926279
115,0.04322319
116,0.048856586
117,0.052617698
118,0.054041587
119,0.053683463
120,0.052496075
121,0.049681571
122,0.047823531
123,0.046485523
124,0.045971205
125,0.046361157
126,0.047584599
127,0.049002334
128,0.051155701
129,0.053974414
130,0.056319842
131,0.057376093
132,0.0575655
133,0.056707075
134,0.05440051
135,0.052302117
136,0.05064339
137,0.049440891
138,0.048239165
139,0.048308979
140,0.047879873
141,0.047072417
142,0.045896176
143,0.045174827
144,0.042308086
145,0.039131951
146,0.036314792
147,0.034058471
148,0.032887269
149,0.036852241
150,0.043938287
151,0.053000945
152,0.061981408
153,0.06969125
154,0.071324768
155,0.06977457
156,0.065866066
157,0.062007118
158,0.058012911
159,0.056666905
160,0.055248598
161,0.054220494
162,0.052969877
163,0.052138278
164,0.051068138
165,0.051119904
166,0.051473024
167,0.05221123
168,0.053616008
169,0.055630875
170,0.057960576
171,0.060597217
172,0.063327378
173,0.065214308
174,0.066682187
175,0.067468238
176,0.067438032
177,0.067057324
178,0.067177954
179,0.067281339
180,0.067708687
181,0.068998624
182,0.070197643
183,0.071496549
184,0.071738869
185,0.070411826
186,0.067588899
187,0.063878832
188,0.058127813
189,0.055031353
190,0.055489262
191,0.057919986
192,0.061538698
193,0.067207854
194,0.069513653
195,0.067823448
196,0.063405114
197,0.057696473
198,0.051158058
199,0.046711096
200,0.042983008
201,0.042339032
202,0.043988619
203,0.045585134
204,0.047493251
205,0.05104527
206,0.051780569
207,0.05052961
208,0.050351544
209,0.049466728
210,0.048785275
211,0.050601188
212,0.05314658
213,0.054725876
214,0.055544892
215,0.055265299
216,0.053853253
217,0.052928738
218,0.052747865
219,0.053314738
220,0.054383289
221,0.055769725
222,0.056546402
223,0.057266224
224,0.058610023
225,0.060577139
226,0.062287155
227,0.064159546
228,0.065884834
229,0.06711206
230,0.067030025
231,0.067367368
232,0.069417166
233,0.074052545
234,0.08095117
235,0.091930703
236,0.109928478
237,0.133968955
238,0.161191853
239,0.195475622
240,0.234990852
241,0.27252886
242,0.305378001
243,0.336403159
244,0.362038587
245,0.378800489
246,0.387529761
247,0.394794733
248,0.395893388
249,0.382573292
250,0.364313828
251,0.344971515
252,0.319207447
253,0.297999551
254,0.292328109
255,0.292491368
256,0.295413777
257,0.298872333
258,0.290745595
259,0.272240478
260,0.250101107
261,0.228704691
262,0.212558882
263,0.20666212
264,0.205883161
265,0.208274789
266,0.211273553
267,0.211807201
268,0.21007152
269,0.208267758
270,0.205029875
271,0.200550549
272,0.196649332
273,0.193226365
274,0.188713251
275,0.184402401
276,0.179806178
277,0.175311085
278,0.169935809
279,0.164972898
280,0.16042078
281,0.158026834
282,0.157063701
283,0.159217449
284,0.162200103
285,0.170793871
286,0.180037741
287,0.192173594
288,0.205999583
289,0.219942221
290,0.224558561
291,0.226043685
292,0.220276109
293,0.205444564
294,0.190501092
295,0.180286805
296,0.176122207
297,0.180164144
298,0.194312743
299,0.212033326
300,0.229527576
301,0.237153114
302,0.237049795
303,0.230973012
304,0.218947797
305,0.204780978
306,0.195270953
307,0.187868953
308,0.181594829
309,0.177635097
310,0.176278862
311,0.175420986
312,0.175202255
313,0.175037133
314,0.174090085
315,0.175658699
316,0.177638867
317,0.181202014
318,0.18697742
319,0.193885059
320,0.195278895
321,0.199288233
322,0.202919079
323,0.203141507
324,0.204097263
325,0.207874118
326,0.207470229
327,0.206033922
328,0.206545028
329,0.207628718
330,0.208238771
331,0.212624607
332,0.220767845
333,0.232777016
334,0.242367742
335,0.250435382
336,0.253127953
337,0.247472431
338,0.235613246
339,0.226804072
340,0.219514265
341,0.217915882
342,0.224012082
343,0.229601461
344,0.229420794
345,0.230677866
346,0.228915725
347,0.226172607
348,0.229559652
349,0.240814596
350,0.253415568
351,0.266154631
352,0.275348237
353,0.277425698
354,0.272839159
355,0.264610171
356,0.257577655
357,0.253475232
358,0.255140088
359,0.261915939
360,0.269848906
361,0.280023077
362,0.293493206
363,0.306028087
364,0.314828679
365,0.326690998
366,0.334868608
367,0.334894055
368,0.333566086
369,0.333950236
370,0.324754294
371,0.310969416
372,0.299079095
373,0.285303164
374,0.268314436
375,0.258135176
376,0.253901854
377,0.249791271
378,0.246353669
379,0.245035559
380,0.240968367
381,0.237151885
382,0.238655142
383,0.243921018
384,0.253573923
385,0.266919996
386,0.276100602
387,0.27758811
388,0.277755571
389,0.274274687
390,0.269119323
391,0.268699407
392,0.274206531
393,0.276218784
394,0.275629725
395,0.27571521
396,0.273939804
397,0.270461254
398,0.270601119
399,0.272625837
400,0.273586911
401,0.273917035
402,0.271955192
403,0.266577755
404,0.260420543
405,0.252889232
406,0.244887923
407,0.238863497
408,0.234151621
409,0.229849087
410,0.228137027
411,0.228685624
412,0.229876891
413,0.232246204
414,0.238213116
415,0.244042907
416,0.249888709
417,0.256494444
418,0.264089503
419,0.267306586
420,0.272016285
421,0.276445368
422,0.278085113
423,0.275580593
424,0.272253504
425,0.260440109
426,0.243055437
427,0.225302302
428,0.210101867
429,0.19606527
430,0.188310904
431,0.184328596
432,0.180968054
433,0.176008466
434,0.172851031
435,0.171051921
436,0.170072946
437,0.170642753
438,0.173051666
439,0.173241304
440,0.171590293
441,0.170087391
442,0.167902785
443,0.167129203
444,0.168186691
445,0.168676695
446,0.168874943
447,0.169910634
448,0.169722653
449,0.17215889
450,0.18075525
451,0.194592604
452,0.21642495
453,0.242073338
454,0.263806112
455,0.277369645
456,0.282991844
457,0.274000599
458,0.261716798
459,0.255929136
460,0.259643701
461,0.272150962
462,0.296154498
463,0.318727568
464,0.332761579
465,0.336088641
466,0.329697634
467,0.31408172
468,0.298244528
469,0.285650848
470,0.274474479
471,0.266845884
472,0.267374454
473,0.272751336
474,0.281067083
475,0.299632361
476,0.321941433
477,0.336841174
478,0.343458642
479,0.345494677
480,0.337775416
481,0.325725245
482,0.320024603
483,0.321782938
484,0.325640524
485,0.332612408
486,0.34148885
487,0.345445925
488,0.34489102
489,0.343059047
490,0.336730838
491,0.324037294
492,0.308980974
493,0.292692284
494,0.274836871
495,0.263334292
496,0.260930402
497,0.26377624
498,0.269716326
499,0.278334869
500,0.283338024
501,0.287181624
502,0.292778074
503,0.295734337
504,0.29532771
505,0.291596916
506,0.279880789
507,0.258976894
508,0.238029421
509,0.219767388
510,0.206461536
511,0.196818995
512,0.194655952
513,0.196524902
514,0.19906256
515,0.201523015
516,0.205219371
517,0.209007239
518,0.209861859
519,0.2101169
520,0.210220408
521,0.212224233
522,0.211446347
523,0.213164163
524,0.216047583
525,0.219932737
526,0.223066313
527,0.227586451
528,0.230297533
529,0.231085727
530,0.229512483
531,0.225996841
532,0.221857321
533,0.218645378
534,0.217624508
535,0.21763839
536,0.219251716
537,0.222471526
538,0.224427542
539,0.225405651
540,0.227088749
541,0.229459874
542,0.231353214
543,0.234429312
544,0.237204952
545,0.238555386
546,0.237104992
547,0.233600921
548,0.229245629
549,0.222943513
550,0.216807667
551,0.212867429
552,0.20989965
553,0.205899999
554,0.203220613
555,0.202345507
556,0.199667616
557,0.197805146
558,0.19734432
559,0.197287342
560,0.193645165
561,0.193028318
562,0.193267018
563,0.19446627
564,0.19730027
565,0.201877384
566,0.203743293
567,0.206404138
568,0.209784317
569,0.212883264
570,0.217655858
571,0.224254808
572,0.226277945
573,0.224382637
574,0.219497477
575,0.218143925
576,0.21761315
577,0.221321412
578,0.227526384
579,0.236398852
580,0.237338294
581,0.233591644
582,0.22567973
583,0.216196627
584,0.203876257
585,0.191936721
586,0.183027581
587,0.177068758
588,0.172552943
589,0.169882713
590,0.172153611
591,0.177248698
592,0.181163109
593,0.183833689
594,0.186245913
595,0.18373102
596,0.175457263
597,0.168322301
598,0.162303967
599,0.156368718
600,0.153131458
601,0.152619511
602,0.151470319
603,0.150943599
604,0.151280699
605,0.15218421
606,0.153931011
607,0.15755834
608,0.160977518
609,0.165716386
610,0.175048169
611,0.183183086
612,0.188061193
613,0.192674953
614,0.193914863
615,0.185404435
616,0.178795899
617,0.175366931
618,0.172502319
619,0.171291484
620,0.175156517
621,0.178089227
622,0.179742935
623,0.181522854
624,0.183408695
625,0.185069991
626,0.186103085
627,0.18756192
628,0.187877352
629,0.189212538
630,0.190938795
631,0.192747563
632,0.192084753
633,0.18926481
634,0.184131341
635,0.176458766
636,0.168657405
637,0.163471241
638,0.164106699
639,0.172805949
640,0.191304709
641,0.211579972
642,0.232452525
643,0.248258494
644,0.249537018
645,0.236913982
646,0.222328856
647,0.205104131
648,0.189285776
649,0.181185662
650,0.179181368
651,0.177501962
652,0.177954929
653,0.178899006
654,0.179329193
655,0.179581414
656,0.180456908
657,0.18100358
658,0.180190868
659,0.179265259
660,0.178628213
661,0.176864074
662,0.174054398
663,0.173740355
664,0.175100142
665,0.176142937
666,0.177112785
667,0.177236979
668,0.174541309
669,0.168494114
670,0.161434099
671,0.15466382
672,0.149234832
673,0.145423046
674,0.144502586
675,0.145924121
676,0.148871866
677,0.114571461
678,0.11819069
679,0.120341493
680,0.120911003
681,0.121070719
682,0.120574703
683,0.120832522
684,0.121043736
685,0.121562784
686,0.121973121
687,0.122871461
688,0.122964491
689,0.123635805
690,0.123911791
691,0.123519486
692,0.12205953
693,0.12061187
694,0.118737428
695,0.116697916
696,0.114354834
697,0.112304885
698,0.110092597
699,0.10739111
700,0.104214232
701,0.101078027
702,0.097885487
703,0.093787712
704,0.089458544
705,0.085747529
706,0.082569932
707,0.07915055
708,0.077312622
709,0.077224964
710,0.078189228
711,0.078974041
712,0.081226693
713,0.083318894
714,0.085194806
715,0.086753269
716,0.089706214
717,0.092088844
718,0.093266859
719,0.092317019
720,0.089451077
